Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000131773	KHDRBS3	amygdala	29.7	Brain	Brain
ENSG00000131778	CHD1L	amygdala	18.6	Brain	Brain
ENSG00000131779	PEX11B	amygdala	35.7	Brain	Brain
ENSG00000131781	FMO5	spinal cord	5.2	Brain	Brain
ENSG00000131788	PIAS3	amygdala	9.8	Brain	Brain
ENSG00000131791	PRKAB2	amygdala	7.8	Brain	Brain
ENSG00000131828	PDHA1	amygdala	17.9	Brain	Brain
ENSG00000131831	RAI2	amygdala	5.9	Brain	Brain
ENSG00000131844	MCCC2	amygdala	13.8	Brain	Brain
ENSG00000131845	ZNF304	cerebellum	9.3	Brain	Brain
ENSG00000131848	ZSCAN5A	choroid plexus	5.6	Brain	Brain
ENSG00000131871	SELENOS	amygdala	31.1	Brain	Brain
ENSG00000131873	CHSY1	amygdala	8.4	Brain	Brain
ENSG00000131876	SNRPA1	amygdala	15.3	Brain	Brain
ENSG00000131899	LLGL1	amygdala	30.2	Brain	Brain
ENSG00000131931	THAP1	cerebellum	5.7	Brain	Brain
ENSG00000131941	RHPN2	amygdala	6.9	Brain	Brain
ENSG00000131943	C19orf12	amygdala	21.5	Brain	Brain
ENSG00000131966	ACTR10	amygdala	23	Brain	Brain
ENSG00000131969	ABHD12B	basal ganglia	6.6	Brain	Brain
ENSG00000131981	LGALS3	amygdala	61.7	Brain	Brain
ENSG00000132000	PODNL1	cerebellum	5.8	Brain	Brain
ENSG00000132002	DNAJB1	amygdala	185.9	Brain	Brain
ENSG00000132004	FBXW9	basal ganglia	5.7	Brain	Brain
ENSG00000132005	RFX1	cerebellum	13.2	Brain	Brain
ENSG00000132017	DCAF15	amygdala	9.7	Brain	Brain
ENSG00000132024	CC2D1A	amygdala	28.7	Brain	Brain
ENSG00000132026	RTBDN	amygdala	15.1	Brain	Brain
ENSG00000132031	MATN3	midbrain	5.7	Brain	Brain
ENSG00000132109	TRIM21	amygdala	5.3	Brain	Brain
ENSG00000132122	SPATA6	amygdala	5.4	Brain	Brain
ENSG00000132128	LRRC41	amygdala	20.1	Brain	Brain
ENSG00000132153	DHX30	amygdala	22.4	Brain	Brain
ENSG00000132155	RAF1	amygdala	26.8	Brain	Brain
ENSG00000132164	SLC6A11	amygdala	14.6	Brain	Brain
ENSG00000132182	NUP210	basal ganglia	5.6	Brain	Brain
ENSG00000132196	HSD17B7	cerebral cortex	5.1	Brain	Brain
ENSG00000132199	ENOSF1	basal ganglia	5.5	Brain	Brain
ENSG00000132205	EMILIN2	spinal cord	13.7	Brain	Brain
ENSG00000132207	SLX1A	amygdala	14.7	Brain	Brain
ENSG00000132254	ARFIP2	amygdala	19.9	Brain	Brain
ENSG00000132256	TRIM5	choroid plexus	6	Brain	Brain
ENSG00000132274	TRIM22	amygdala	10.3	Brain	Brain
ENSG00000132275	RRP8	amygdala	9.2	Brain	Brain
ENSG00000132286	TIMM10B	amygdala	15.3	Brain	Brain
ENSG00000132294	EFR3A	amygdala	18.2	Brain	Brain
ENSG00000132300	PTCD3	amygdala	11	Brain	Brain
ENSG00000132305	IMMT	amygdala	28.3	Brain	Brain
ENSG00000132313	MRPL35	amygdala	19.5	Brain	Brain
ENSG00000132321	IQCA1	amygdala	15.5	Brain	Brain
ENSG00000132323	ILKAP	amygdala	21	Brain	Brain
ENSG00000132326	PER2	cerebellum	8.2	Brain	Brain
ENSG00000132329	RAMP1	amygdala	181.8	Brain	Brain
ENSG00000132330	SCLY	amygdala	6.1	Brain	Brain
ENSG00000132334	PTPRE	amygdala	9.3	Brain	Brain
ENSG00000132341	RAN	amygdala	189.9	Brain	Brain
ENSG00000132356	PRKAA1	amygdala	7.8	Brain	Brain
ENSG00000132359	RAP1GAP2	amygdala	5.5	Brain	Brain
ENSG00000132361	CLUH	amygdala	18.1	Brain	Brain
ENSG00000132376	INPP5K	amygdala	16.8	Brain	Brain
ENSG00000132382	MYBBP1A	amygdala	5.9	Brain	Brain
ENSG00000132383	RPA1	amygdala	14.4	Brain	Brain
ENSG00000132386	SERPINF1	amygdala	15	Brain	Brain
ENSG00000132388	UBE2G1	amygdala	20	Brain	Brain
ENSG00000132394	EEFSEC	amygdala	8	Brain	Brain
ENSG00000132405	TBC1D14	amygdala	40.6	Brain	Brain
ENSG00000132406	TMEM128	amygdala	24	Brain	Brain
ENSG00000132423	COQ3	amygdala	10.2	Brain	Brain
ENSG00000132424	PNISR	amygdala	40	Brain	Brain
ENSG00000132429	POPDC3	cerebral cortex	7.9	Brain	Brain
ENSG00000132432	SEC61G	amygdala	122.2	Brain	Brain
ENSG00000132434	LANCL2	amygdala	19.7	Brain	Brain
ENSG00000132436	FIGNL1	cerebellum	6.5	Brain	Brain
ENSG00000132437	DDC	midbrain	11.6	Brain	Brain
ENSG00000132463	GRSF1	amygdala	9.7	Brain	Brain
ENSG00000132465	JCHAIN	cerebral cortex	6.4	Brain	Brain
ENSG00000132466	ANKRD17	amygdala	10.7	Brain	Brain
ENSG00000132467	UTP3	amygdala	10.1	Brain	Brain
ENSG00000132470	ITGB4	amygdala	48	Brain	Brain
ENSG00000132471	WBP2	amygdala	278.5	Brain	Brain
ENSG00000132475	H3-3B	amygdala	337	Brain	Brain
ENSG00000132478	UNK	amygdala	7.9	Brain	Brain
ENSG00000132481	TRIM47	amygdala	22.5	Brain	Brain
ENSG00000132485	ZRANB2	amygdala	36.4	Brain	Brain
ENSG00000132507	EIF5A	amygdala	180	Brain	Brain
ENSG00000132510	KDM6B	amygdala	5.4	Brain	Brain
ENSG00000132522	GPS2	amygdala	43.7	Brain	Brain
ENSG00000132530	XAF1	amygdala	12.2	Brain	Brain
ENSG00000132535	DLG4	amygdala	159.7	Brain	Brain
ENSG00000132541	RIDA	amygdala	88.7	Brain	Brain
ENSG00000132554	RGS22	choroid plexus	6.4	Brain	Brain
ENSG00000132561	MATN2	amygdala	19.1	Brain	Brain
ENSG00000132563	REEP2	amygdala	74.7	Brain	Brain
ENSG00000132570	PCBD2	cerebral cortex	5	Brain	Brain
ENSG00000132581	SDF2	amygdala	10.2	Brain	Brain
ENSG00000132589	FLOT2	amygdala	49.5	Brain	Brain
ENSG00000132591	ERAL1	amygdala	31	Brain	Brain
ENSG00000132600	PRMT7	amygdala	9.8	Brain	Brain
ENSG00000132603	NIP7	amygdala	5	Brain	Brain
ENSG00000132604	TERF2	amygdala	19.8	Brain	Brain
ENSG00000132612	VPS4A	amygdala	15.9	Brain	Brain
ENSG00000132613	MTSS2	amygdala	294.5	Brain	Brain
ENSG00000132622	HSPA12B	basal ganglia	7.1	Brain	Brain
ENSG00000132635	PCED1A	amygdala	40.6	Brain	Brain
ENSG00000132639	SNAP25	amygdala	875.5	Brain	Brain
ENSG00000132640	BTBD3	amygdala	28.6	Brain	Brain
ENSG00000132646	PCNA	amygdala	24.5	Brain	Brain
ENSG00000132661	NXT1	amygdala	8.4	Brain	Brain
ENSG00000132664	POLR3F	cerebellum	10.1	Brain	Brain
ENSG00000132669	RIN2	cerebral cortex	8	Brain	Brain
ENSG00000132670	PTPRA	amygdala	62.9	Brain	Brain
ENSG00000132676	DAP3	amygdala	38.4	Brain	Brain
ENSG00000132680	KHDC4	amygdala	17	Brain	Brain
ENSG00000132688	NES	amygdala	15.7	Brain	Brain
ENSG00000132692	BCAN	amygdala	193.8	Brain	Brain
ENSG00000132694	ARHGEF11	amygdala	8.5	Brain	Brain
ENSG00000132702	HAPLN2	amygdala	58.9	Brain	Brain
ENSG00000132716	DCAF8	amygdala	42.7	Brain	Brain
ENSG00000132718	SYT11	amygdala	99.1	Brain	Brain
ENSG00000132740	IGHMBP2	cerebellum	11.3	Brain	Brain
ENSG00000132744	ACY3	midbrain	6.7	Brain	Brain
ENSG00000132768	DPH2	amygdala	5.8	Brain	Brain
ENSG00000132773	TOE1	choroid plexus	5	Brain	Brain
ENSG00000132780	NASP	amygdala	54.5	Brain	Brain
ENSG00000132781	MUTYH	amygdala	5.3	Brain	Brain
ENSG00000132792	CTNNBL1	amygdala	18.5	Brain	Brain
ENSG00000132793	LPIN3	choroid plexus	6.8	Brain	Brain
ENSG00000132819	RBM38	amygdala	13.3	Brain	Brain
ENSG00000132821	VSTM2L	amygdala	66.7	Brain	Brain
ENSG00000132823	OSER1	amygdala	18.9	Brain	Brain
ENSG00000132824	SERINC3	amygdala	53.3	Brain	Brain
ENSG00000132840	BHMT2	basal ganglia	7	Brain	Brain
ENSG00000132842	AP3B1	amygdala	18.4	Brain	Brain
ENSG00000132846	ZBED3	basal ganglia	5	Brain	Brain
ENSG00000132849	PATJ	cerebellum	36.9	Brain	Brain
ENSG00000132854	KANK4	midbrain	7.3	Brain	Brain
ENSG00000132872	SYT4	amygdala	12.1	Brain	Brain
ENSG00000132879	FBXO44	amygdala	111.6	Brain	Brain
ENSG00000132881	CPLANE2	amygdala	8.5	Brain	Brain
ENSG00000132906	CASP9	amygdala	13.3	Brain	Brain
ENSG00000132912	DCTN4	amygdala	24.4	Brain	Brain
ENSG00000132932	ATP8A2	cerebellum	19.7	Brain	Brain
ENSG00000132938	MTUS2	cerebellum	5.2	Brain	Brain
ENSG00000132950	ZMYM5	cerebral cortex	5.1	Brain	Brain
ENSG00000132952	USPL1	amygdala	7	Brain	Brain
ENSG00000132963	POMP	amygdala	96.7	Brain	Brain
ENSG00000132965	ALOX5AP	amygdala	14.5	Brain	Brain
ENSG00000132970	WASF3	amygdala	54.2	Brain	Brain
ENSG00000132975	GPR12	basal ganglia	10.3	Brain	Brain
ENSG00000133019	CHRM3	cerebral cortex	9.7	Brain	Brain
ENSG00000133026	MYH10	amygdala	12.8	Brain	Brain
ENSG00000133027	PEMT	amygdala	24.7	Brain	Brain
ENSG00000133028	SCO1	amygdala	10	Brain	Brain
ENSG00000133030	MPRIP	amygdala	143.5	Brain	Brain
ENSG00000133048	CHI3L1	amygdala	80.4	Brain	Brain
ENSG00000133055	MYBPH	choroid plexus	5	Brain	Brain
ENSG00000133056	PIK3C2B	amygdala	6.4	Brain	Brain
ENSG00000133059	DSTYK	amygdala	8.4	Brain	Brain
ENSG00000133063	CHIT1	spinal cord	8.8	Brain	Brain
ENSG00000133065	SLC41A1	amygdala	6.9	Brain	Brain
ENSG00000133067	LGR6	cerebellum	5.8	Brain	Brain
ENSG00000133069	TMCC2	amygdala	27.3	Brain	Brain
ENSG00000133083	DCLK1	amygdala	18.2	Brain	Brain
ENSG00000133101	CCNA1	amygdala	6.1	Brain	Brain
ENSG00000133103	COG6	amygdala	6.9	Brain	Brain
ENSG00000133104	SPART	amygdala	31.9	Brain	Brain
ENSG00000133111	RFXAP	cerebellum	7	Brain	Brain
ENSG00000133112	TPT1	amygdala	2520.2	Brain	Brain
ENSG00000133114	GPALPP1	basal ganglia	5.2	Brain	Brain
ENSG00000133116	KL	choroid plexus	31.3	Brain	Brain
ENSG00000133119	RFC3	cerebellum	7.1	Brain	Brain
ENSG00000133121	STARD13	amygdala	5.8	Brain	Brain
ENSG00000133131	MORC4	cerebral cortex	5	Brain	Brain
ENSG00000133134	BEX2	amygdala	216.6	Brain	Brain
ENSG00000133135	RNF128	hypothalamus	6	Brain	Brain
ENSG00000133138	TBC1D8B	choroid plexus	8.9	Brain	Brain
ENSG00000133142	TCEAL4	amygdala	194.2	Brain	Brain
ENSG00000133169	BEX1	amygdala	427.8	Brain	Brain
ENSG00000133193	FAM104A	amygdala	13.1	Brain	Brain
ENSG00000133195	SLC39A11	amygdala	8.4	Brain	Brain
ENSG00000133216	EPHB2	spinal cord	7	Brain	Brain
ENSG00000133226	SRRM1	amygdala	22.8	Brain	Brain
ENSG00000133243	BTBD2	amygdala	137.8	Brain	Brain
ENSG00000133246	PRAM1	spinal cord	8.5	Brain	Brain
ENSG00000133247	KMT5C	basal ganglia	5.3	Brain	Brain
ENSG00000133250	ZNF414	amygdala	18.2	Brain	Brain
ENSG00000133256	PDE6B	amygdala	14.8	Brain	Brain
ENSG00000133265	HSPBP1	amygdala	62.3	Brain	Brain
ENSG00000133275	CSNK1G2	amygdala	45.7	Brain	Brain
ENSG00000133313	CNDP2	amygdala	110.1	Brain	Brain
ENSG00000133315	MACROD1	amygdala	12.3	Brain	Brain
ENSG00000133316	WDR74	amygdala	20.1	Brain	Brain
ENSG00000133318	RTN3	amygdala	367.7	Brain	Brain
ENSG00000133321	PLAAT4	amygdala	49.5	Brain	Brain
ENSG00000133392	MYH11	amygdala	6.7	Brain	Brain
ENSG00000133393	CEP20	amygdala	17	Brain	Brain
ENSG00000133398	MED10	amygdala	36.8	Brain	Brain
ENSG00000133401	PDZD2	amygdala	5.2	Brain	Brain
ENSG00000133422	MORC2	amygdala	12.1	Brain	Brain
ENSG00000133424	LARGE1	amygdala	12.3	Brain	Brain
ENSG00000133433	GSTT2B	amygdala	26.6	Brain	Brain
ENSG00000133460	SLC2A11	amygdala	7.1	Brain	Brain
ENSG00000133561	GIMAP6	basal ganglia	6.2	Brain	Brain
ENSG00000133574	GIMAP4	amygdala	10.3	Brain	Brain
ENSG00000133597	ADCK2	amygdala	14.9	Brain	Brain
ENSG00000133606	MKRN1	amygdala	48.6	Brain	Brain
ENSG00000133612	AGAP3	amygdala	216.9	Brain	Brain
ENSG00000133619	KRBA1	amygdala	8.6	Brain	Brain
ENSG00000133627	ACTR3B	amygdala	23.2	Brain	Brain
ENSG00000133636	NTS	amygdala	5.8	Brain	Brain
ENSG00000133639	BTG1	amygdala	12.2	Brain	Brain
ENSG00000133640	LRRIQ1	choroid plexus	13.6	Brain	Brain
ENSG00000133641	C12orf29	cerebral cortex	9.8	Brain	Brain
ENSG00000133657	ATP13A3	cerebral cortex	7.1	Brain	Brain
ENSG00000133661	SFTPD	choroid plexus	9.1	Brain	Brain
ENSG00000133665	DYDC2	amygdala	8.5	Brain	Brain
ENSG00000133678	TMEM254	amygdala	5.6	Brain	Brain
ENSG00000133687	TMTC1	basal ganglia	13.2	Brain	Brain
ENSG00000133703	KRAS	amygdala	8.9	Brain	Brain
ENSG00000133704	IPO8	amygdala	11.8	Brain	Brain
ENSG00000133706	LARS1	amygdala	31.2	Brain	Brain
ENSG00000133731	IMPA1	amygdala	13.1	Brain	Brain
ENSG00000133739	LRRCC1	amygdala	8.4	Brain	Brain
ENSG00000133740	E2F5	cerebral cortex	5	Brain	Brain
ENSG00000133773	CCDC59	amygdala	6.3	Brain	Brain
ENSG00000133789	SWAP70	amygdala	10.7	Brain	Brain
ENSG00000133794	BMAL1	amygdala	8.3	Brain	Brain
ENSG00000133800	LYVE1	cerebral cortex	6	Brain	Brain
ENSG00000133805	AMPD3	amygdala	7.2	Brain	Brain
ENSG00000133812	SBF2	amygdala	5.9	Brain	Brain
ENSG00000133816	MICAL2	amygdala	16.7	Brain	Brain
ENSG00000133818	RRAS2	amygdala	9.3	Brain	Brain
ENSG00000133835	HSD17B4	amygdala	35.8	Brain	Brain
ENSG00000133858	ZFC3H1	cerebellum	11.7	Brain	Brain
ENSG00000133872	SARAF	amygdala	179.9	Brain	Brain
ENSG00000133874	RNF122	cerebellum	15.7	Brain	Brain
ENSG00000133878	DUSP26	amygdala	45.4	Brain	Brain
ENSG00000133884	DPF2	amygdala	25.7	Brain	Brain
ENSG00000133895	MEN1	amygdala	12.9	Brain	Brain
ENSG00000133935	ERG28	amygdala	18.5	Brain	Brain
ENSG00000133943	DGLUCY	amygdala	39.8	Brain	Brain
ENSG00000133958	UNC79	cerebellum	13.1	Brain	Brain
ENSG00000133961	NUMB	amygdala	16.6	Brain	Brain
ENSG00000133983	COX16	amygdala	18.9	Brain	Brain
ENSG00000133985	TTC9	basal ganglia	8.1	Brain	Brain
ENSG00000133997	MED6	amygdala	11.2	Brain	Brain
ENSG00000134001	EIF2S1	amygdala	14.5	Brain	Brain
ENSG00000134014	ELP3	amygdala	15	Brain	Brain
ENSG00000134020	PEBP4	amygdala	8.6	Brain	Brain
ENSG00000134030	CTIF	amygdala	25.6	Brain	Brain
ENSG00000134042	MRO	amygdala	25.7	Brain	Brain
ENSG00000134046	MBD2	amygdala	7.8	Brain	Brain
ENSG00000134049	IER3IP1	amygdala	7.7	Brain	Brain
ENSG00000134056	MRPS36	amygdala	22.6	Brain	Brain
ENSG00000134057	CCNB1	cerebellum	6.9	Brain	Brain
ENSG00000134058	CDK7	amygdala	11.8	Brain	Brain
ENSG00000134072	CAMK1	amygdala	64.1	Brain	Brain
ENSG00000134077	THUMPD3	amygdala	9.3	Brain	Brain
ENSG00000134086	VHL	amygdala	12	Brain	Brain
ENSG00000134107	BHLHE40	amygdala	39.4	Brain	Brain
ENSG00000134108	ARL8B	cerebral cortex	70.1	Brain	Brain
ENSG00000134109	EDEM1	basal ganglia	6.2	Brain	Brain
ENSG00000134115	CNTN6	cerebellum	8.8	Brain	Brain
ENSG00000134121	CHL1	amygdala	18.4	Brain	Brain
ENSG00000134138	MEIS2	basal ganglia	14.5	Brain	Brain
ENSG00000134146	DPH6	cerebral cortex	5.3	Brain	Brain
ENSG00000134152	KATNBL1	amygdala	12.7	Brain	Brain
ENSG00000134153	EMC7	amygdala	64.6	Brain	Brain
ENSG00000134184	GSTM1	amygdala	91.9	Brain	Brain
ENSG00000134186	PRPF38B	amygdala	18.4	Brain	Brain
ENSG00000134201	GSTM5	amygdala	85.9	Brain	Brain
ENSG00000134202	GSTM3	amygdala	37	Brain	Brain
ENSG00000134207	SYT6	hypothalamus	9.2	Brain	Brain
ENSG00000134215	VAV3	choroid plexus	6.7	Brain	Brain
ENSG00000134222	PSRC1	amygdala	38.1	Brain	Brain
ENSG00000134240	HMGCS2	choroid plexus	17.7	Brain	Brain
ENSG00000134243	SORT1	amygdala	46.3	Brain	Brain
ENSG00000134247	PTGFRN	cerebral cortex	5.9	Brain	Brain
ENSG00000134248	LAMTOR5	amygdala	154.7	Brain	Brain
ENSG00000134250	NOTCH2	amygdala	9.8	Brain	Brain
ENSG00000134255	CEPT1	amygdala	7.5	Brain	Brain
ENSG00000134262	AP4B1	amygdala	9.5	Brain	Brain
ENSG00000134265	NAPG	amygdala	20.4	Brain	Brain
ENSG00000134278	SPIRE1	amygdala	20.2	Brain	Brain
ENSG00000134283	PPHLN1	amygdala	23.4	Brain	Brain
ENSG00000134285	FKBP11	choroid plexus	13.6	Brain	Brain
ENSG00000134287	ARF3	amygdala	190.4	Brain	Brain
ENSG00000134291	TMEM106C	amygdala	25.8	Brain	Brain
ENSG00000134294	SLC38A2	amygdala	22.8	Brain	Brain
ENSG00000134308	YWHAQ	amygdala	235.9	Brain	Brain
ENSG00000134313	KIDINS220	amygdala	21.7	Brain	Brain
ENSG00000134318	ROCK2	amygdala	7.4	Brain	Brain
ENSG00000134321	RSAD2	basal ganglia	5.4	Brain	Brain
ENSG00000134323	MYCN	spinal cord	5.8	Brain	Brain
ENSG00000134324	LPIN1	amygdala	20.4	Brain	Brain
ENSG00000134330	IAH1	amygdala	35.3	Brain	Brain
ENSG00000134333	LDHA	amygdala	133.7	Brain	Brain
ENSG00000134343	ANO3	basal ganglia	56.7	Brain	Brain
ENSG00000134352	IL6ST	amygdala	28.5	Brain	Brain
ENSG00000134369	NAV1	amygdala	12.7	Brain	Brain
ENSG00000134371	CDC73	amygdala	5.8	Brain	Brain
ENSG00000134375	TIMM17A	amygdala	35.3	Brain	Brain
ENSG00000134376	CRB1	amygdala	11.6	Brain	Brain
ENSG00000134419	RPS15A	amygdala	764	Brain	Brain
ENSG00000134440	NARS1	amygdala	46.7	Brain	Brain
ENSG00000134443	GRP	choroid plexus	8	Brain	Brain
ENSG00000134444	RELCH	amygdala	6.4	Brain	Brain
ENSG00000134452	FBH1	amygdala	14.8	Brain	Brain
ENSG00000134453	RBM17	amygdala	48	Brain	Brain
ENSG00000134461	ANKRD16	basal ganglia	5.2	Brain	Brain
ENSG00000134463	ECHDC3	choroid plexus	49.2	Brain	Brain
ENSG00000134480	CCNH	amygdala	18.3	Brain	Brain
ENSG00000134504	KCTD1	amygdala	27.5	Brain	Brain
ENSG00000134508	CABLES1	amygdala	37.5	Brain	Brain
ENSG00000134531	EMP1	amygdala	20.1	Brain	Brain
ENSG00000134532	SOX5	cerebral cortex	6.4	Brain	Brain
ENSG00000134533	RERG	amygdala	6.7	Brain	Brain
ENSG00000134548	SPX	amygdala	7	Brain	Brain
ENSG00000134569	LRP4	amygdala	10.2	Brain	Brain
ENSG00000134574	DDB2	choroid plexus	8.3	Brain	Brain
ENSG00000134575	ACP2	amygdala	17.2	Brain	Brain
ENSG00000134590	RTL8C	amygdala	349.2	Brain	Brain
ENSG00000134594	RAB33A	amygdala	16.7	Brain	Brain
ENSG00000134597	RBMX2	amygdala	17.1	Brain	Brain
ENSG00000134627	PIWIL4	cerebellum	5.3	Brain	Brain
ENSG00000134644	PUM1	amygdala	21.5	Brain	Brain
ENSG00000134668	SPOCD1	choroid plexus	10.9	Brain	Brain
ENSG00000134684	YARS1	amygdala	22.4	Brain	Brain
ENSG00000134686	PHC2	amygdala	49	Brain	Brain
ENSG00000134697	GNL2	amygdala	11.7	Brain	Brain
ENSG00000134698	AGO4	amygdala	5.9	Brain	Brain
ENSG00000134709	HOOK1	cerebellum	10.4	Brain	Brain
ENSG00000134716	CYP2J2	amygdala	13	Brain	Brain
ENSG00000134717	BTF3L4	amygdala	31.5	Brain	Brain
ENSG00000134744	TUT4	amygdala	22	Brain	Brain
ENSG00000134748	PRPF38A	amygdala	12.7	Brain	Brain
ENSG00000134758	RNF138	amygdala	6.9	Brain	Brain
ENSG00000134759	ELP2	amygdala	9.1	Brain	Brain
ENSG00000134769	DTNA	amygdala	160.6	Brain	Brain
ENSG00000134775	FHOD3	amygdala	15.2	Brain	Brain
ENSG00000134779	TPGS2	amygdala	70.1	Brain	Brain
ENSG00000134780	DAGLA	amygdala	5.4	Brain	Brain
ENSG00000134802	SLC43A3	amygdala	5.8	Brain	Brain
ENSG00000134809	TIMM10	amygdala	56.7	Brain	Brain
ENSG00000134815	DHX34	cerebellum	9.2	Brain	Brain
ENSG00000134817	APLNR	amygdala	36.8	Brain	Brain
ENSG00000134824	FADS2	amygdala	138.1	Brain	Brain
ENSG00000134825	TMEM258	amygdala	117.6	Brain	Brain
ENSG00000134851	TMEM165	amygdala	30.1	Brain	Brain
ENSG00000134852	CLOCK	cerebellum	7.9	Brain	Brain
ENSG00000134853	PDGFRA	amygdala	25.1	Brain	Brain
ENSG00000134871	COL4A2	amygdala	9.1	Brain	Brain
ENSG00000134873	CLDN10	amygdala	90	Brain	Brain
ENSG00000134874	DZIP1	amygdala	19.8	Brain	Brain
ENSG00000134882	UBAC2	cerebral cortex	11.3	Brain	Brain
ENSG00000134884	ARGLU1	amygdala	24.4	Brain	Brain
ENSG00000134897	BIVM	amygdala	7.9	Brain	Brain
ENSG00000134899	ERCC5	cerebral cortex	6.2	Brain	Brain
ENSG00000134900	TPP2	amygdala	6.3	Brain	Brain
ENSG00000134905	CARS2	amygdala	8.7	Brain	Brain
ENSG00000134909	ARHGAP32	amygdala	11.7	Brain	Brain
ENSG00000134910	STT3A	amygdala	13.2	Brain	Brain
ENSG00000134954	ETS1	amygdala	9.3	Brain	Brain
ENSG00000134970	TMED7	amygdala	19.9	Brain	Brain
ENSG00000134982	APC	amygdala	39	Brain	Brain
ENSG00000134986	NREP	amygdala	39.9	Brain	Brain
ENSG00000134996	OSTF1	amygdala	27.4	Brain	Brain
ENSG00000135002	RFK	amygdala	23.4	Brain	Brain
ENSG00000135018	UBQLN1	amygdala	33.3	Brain	Brain
ENSG00000135040	NAA35	amygdala	7.5	Brain	Brain
ENSG00000135045	C9orf40	amygdala	5.6	Brain	Brain
ENSG00000135046	ANXA1	amygdala	32.9	Brain	Brain
ENSG00000135047	CTSL	amygdala	42.6	Brain	Brain
ENSG00000135048	CEMIP2	cerebellum	6.8	Brain	Brain
ENSG00000135049	AGTPBP1	amygdala	13.3	Brain	Brain
ENSG00000135052	GOLM1	amygdala	68	Brain	Brain
ENSG00000135063	ENTREP1	amygdala	10.7	Brain	Brain
ENSG00000135069	PSAT1	amygdala	152.9	Brain	Brain
ENSG00000135070	ISCA1	amygdala	38.9	Brain	Brain
ENSG00000135074	ADAM19	cerebellum	8.5	Brain	Brain
ENSG00000135077	HAVCR2	cerebral cortex	8.7	Brain	Brain
ENSG00000135083	CCNJL	cerebellum	11.4	Brain	Brain
ENSG00000135090	TAOK3	amygdala	30.4	Brain	Brain
ENSG00000135093	USP30	cerebral cortex	8.4	Brain	Brain
ENSG00000135094	SDS	amygdala	17.4	Brain	Brain
ENSG00000135097	MSI1	amygdala	8	Brain	Brain
ENSG00000135108	FBXO21	amygdala	10.4	Brain	Brain
ENSG00000135116	HRK	cerebral cortex	7.9	Brain	Brain
ENSG00000135119	RNFT2	amygdala	6.5	Brain	Brain
ENSG00000135124	P2RX4	cerebellum	6.4	Brain	Brain
ENSG00000135127	BICDL1	amygdala	12.3	Brain	Brain
ENSG00000135144	DTX1	amygdala	7.5	Brain	Brain
ENSG00000135148	TRAFD1	amygdala	12	Brain	Brain
ENSG00000135164	DMTF1	amygdala	13.5	Brain	Brain
ENSG00000135185	TMEM243	amygdala	13.6	Brain	Brain
ENSG00000135205	CCDC146	choroid plexus	16	Brain	Brain
ENSG00000135211	TMEM60	amygdala	12.1	Brain	Brain
ENSG00000135218	CD36	hippocampal formation	5.7	Brain	Brain
ENSG00000135241	PNPLA8	amygdala	29.9	Brain	Brain
ENSG00000135245	HILPDA	amygdala	25.9	Brain	Brain
ENSG00000135249	RINT1	cerebellum	6	Brain	Brain
ENSG00000135250	SRPK2	amygdala	29.8	Brain	Brain
ENSG00000135269	TES	choroid plexus	11.4	Brain	Brain
ENSG00000135272	MDFIC	choroid plexus	19	Brain	Brain
ENSG00000135297	MTO1	basal ganglia	5	Brain	Brain
ENSG00000135298	ADGRB3	amygdala	16.1	Brain	Brain
ENSG00000135299	ANKRD6	amygdala	6.5	Brain	Brain
ENSG00000135314	KHDC1	amygdala	11	Brain	Brain
ENSG00000135316	SYNCRIP	amygdala	24	Brain	Brain
ENSG00000135317	SNX14	amygdala	28	Brain	Brain
ENSG00000135318	NT5E	amygdala	12.5	Brain	Brain
ENSG00000135324	MRAP2	amygdala	6.6	Brain	Brain
ENSG00000135333	EPHA7	basal ganglia	6.1	Brain	Brain
ENSG00000135334	AKIRIN2	amygdala	33.9	Brain	Brain
ENSG00000135336	ORC3	amygdala	13.1	Brain	Brain
ENSG00000135338	LCA5	choroid plexus	13.9	Brain	Brain
ENSG00000135341	MAP3K7	amygdala	8.6	Brain	Brain
ENSG00000135362	PRR5L	basal ganglia	5.8	Brain	Brain
ENSG00000135363	LMO2	amygdala	15.7	Brain	Brain
ENSG00000135365	PHF21A	amygdala	12.7	Brain	Brain
ENSG00000135372	NAT10	amygdala	13.8	Brain	Brain
ENSG00000135387	CAPRIN1	amygdala	25.7	Brain	Brain
ENSG00000135390	ATP5MC2	amygdala	29.1	Brain	Brain
ENSG00000135392	DNAJC14	amygdala	11.1	Brain	Brain
ENSG00000135404	CD63	amygdala	423.9	Brain	Brain
ENSG00000135406	PRPH	spinal cord	5.2	Brain	Brain
ENSG00000135407	AVIL	cerebellum	7.1	Brain	Brain
ENSG00000135414	GDF11	amygdala	17.4	Brain	Brain
ENSG00000135423	GLS2	basal ganglia	5.3	Brain	Brain
ENSG00000135424	ITGA7	amygdala	16.2	Brain	Brain
ENSG00000135426	TESPA1	basal ganglia	36.8	Brain	Brain
ENSG00000135437	RDH5	choroid plexus	10.7	Brain	Brain
ENSG00000135439	AGAP2	amygdala	147.2	Brain	Brain
ENSG00000135441	BLOC1S1	amygdala	249.6	Brain	Brain
ENSG00000135446	CDK4	amygdala	28.4	Brain	Brain
ENSG00000135447	PPP1R1A	amygdala	62.2	Brain	Brain
