Gene	Gene.name	Tissue	nTPM	brain_2	brain_1
ENSG00000110446	SLC15A3	amygdala	15.3	Brain	Brain
ENSG00000110455	ACCS	choroid plexus	10.7	Brain	Brain
ENSG00000110492	MDK	amygdala	30.4	Brain	Brain
ENSG00000110497	AMBRA1	amygdala	6.9	Brain	Brain
ENSG00000110514	MADD	amygdala	27.2	Brain	Brain
ENSG00000110536	PTPMT1	amygdala	49.4	Brain	Brain
ENSG00000110583	NAA40	amygdala	5.9	Brain	Brain
ENSG00000110619	CARS1	amygdala	15	Brain	Brain
ENSG00000110651	CD81	amygdala	512.7	Brain	Brain
ENSG00000110675	ELMOD1	amygdala	16.5	Brain	Brain
ENSG00000110693	SOX6	cerebral cortex	6.1	Brain	Brain
ENSG00000110696	C11orf58	amygdala	75.1	Brain	Brain
ENSG00000110697	PITPNM1	amygdala	32.2	Brain	Brain
ENSG00000110700	RPS13	amygdala	605.4	Brain	Brain
ENSG00000110711	AIP	amygdala	71.2	Brain	Brain
ENSG00000110713	NUP98	amygdala	7	Brain	Brain
ENSG00000110717	NDUFS8	amygdala	148.1	Brain	Brain
ENSG00000110719	TCIRG1	amygdala	6.3	Brain	Brain
ENSG00000110721	CHKA	amygdala	37.5	Brain	Brain
ENSG00000110723	EXPH5	cerebellum	15.7	Brain	Brain
ENSG00000110756	HPS5	amygdala	5.9	Brain	Brain
ENSG00000110768	GTF2H1	amygdala	13.2	Brain	Brain
ENSG00000110777	POU2AF1	choroid plexus	15.3	Brain	Brain
ENSG00000110786	PTPN5	amygdala	31.1	Brain	Brain
ENSG00000110799	VWF	amygdala	12.7	Brain	Brain
ENSG00000110801	PSMD9	cerebellum	6.4	Brain	Brain
ENSG00000110811	P3H3	cerebellum	13	Brain	Brain
ENSG00000110841	PPFIBP1	amygdala	12.2	Brain	Brain
ENSG00000110844	PRPF40B	amygdala	13.1	Brain	Brain
ENSG00000110848	CD69	spinal cord	9.1	Brain	Brain
ENSG00000110851	PRDM4	amygdala	9.5	Brain	Brain
ENSG00000110852	CLEC2B	amygdala	5.2	Brain	Brain
ENSG00000110871	COQ5	amygdala	20.9	Brain	Brain
ENSG00000110876	SELPLG	amygdala	10.4	Brain	Brain
ENSG00000110880	CORO1C	amygdala	28.6	Brain	Brain
ENSG00000110881	ASIC1	amygdala	24.7	Brain	Brain
ENSG00000110887	DAO	cerebellum	48	Brain	Brain
ENSG00000110888	CAPRIN2	amygdala	8	Brain	Brain
ENSG00000110900	TSPAN11	amygdala	5.5	Brain	Brain
ENSG00000110906	KCTD10	amygdala	14.9	Brain	Brain
ENSG00000110911	SLC11A2	amygdala	10	Brain	Brain
ENSG00000110917	MLEC	amygdala	21.9	Brain	Brain
ENSG00000110921	MVK	amygdala	9.1	Brain	Brain
ENSG00000110925	CSRNP2	amygdala	13.7	Brain	Brain
ENSG00000110931	CAMKK2	amygdala	54.2	Brain	Brain
ENSG00000110934	BIN2	choroid plexus	5.3	Brain	Brain
ENSG00000110955	ATP5F1B	amygdala	247.2	Brain	Brain
ENSG00000110958	PTGES3	amygdala	152.5	Brain	Brain
ENSG00000110987	BCL7A	amygdala	7.5	Brain	Brain
ENSG00000111011	RSRC2	amygdala	13.6	Brain	Brain
ENSG00000111052	LIN7A	amygdala	5	Brain	Brain
ENSG00000111057	KRT18	cerebellum	17.3	Brain	Brain
ENSG00000111058	ACSS3	amygdala	5.1	Brain	Brain
ENSG00000111077	TNS2	amygdala	48.7	Brain	Brain
ENSG00000111110	PPM1H	amygdala	10.1	Brain	Brain
ENSG00000111142	METAP2	amygdala	40	Brain	Brain
ENSG00000111144	LTA4H	amygdala	19.3	Brain	Brain
ENSG00000111145	ELK3	cerebellum	7.1	Brain	Brain
ENSG00000111181	SLC6A12	amygdala	16.9	Brain	Brain
ENSG00000111186	WNT5B	basal ganglia	5	Brain	Brain
ENSG00000111196	MAGOHB	amygdala	6.8	Brain	Brain
ENSG00000111199	TRPV4	choroid plexus	71.9	Brain	Brain
ENSG00000111203	ITFG2	amygdala	7	Brain	Brain
ENSG00000111218	PRMT8	amygdala	5.2	Brain	Brain
ENSG00000111229	ARPC3	amygdala	175.6	Brain	Brain
ENSG00000111231	GPN3	amygdala	11	Brain	Brain
ENSG00000111237	VPS29	amygdala	56.3	Brain	Brain
ENSG00000111245	MYL2	cerebral cortex	5.4	Brain	Brain
ENSG00000111249	CUX2	cerebral cortex	14	Brain	Brain
ENSG00000111252	SH2B3	amygdala	6.7	Brain	Brain
ENSG00000111261	MANSC1	amygdala	9.3	Brain	Brain
ENSG00000111262	KCNA1	amygdala	6.2	Brain	Brain
ENSG00000111266	DUSP16	amygdala	8.3	Brain	Brain
ENSG00000111269	CREBL2	amygdala	28.1	Brain	Brain
ENSG00000111271	ACAD10	amygdala	5.1	Brain	Brain
ENSG00000111275	ALDH2	amygdala	126.3	Brain	Brain
ENSG00000111276	CDKN1B	amygdala	45	Brain	Brain
ENSG00000111300	NAA25	basal ganglia	6.1	Brain	Brain
ENSG00000111305	GSG1	choroid plexus	11.5	Brain	Brain
ENSG00000111319	SCNN1A	choroid plexus	190.3	Brain	Brain
ENSG00000111321	LTBR	amygdala	9.8	Brain	Brain
ENSG00000111325	OGFOD2	amygdala	6.5	Brain	Brain
ENSG00000111328	CDK2AP1	amygdala	249.9	Brain	Brain
ENSG00000111335	OAS2	choroid plexus	5.5	Brain	Brain
ENSG00000111341	MGP	amygdala	18.1	Brain	Brain
ENSG00000111344	RASAL1	amygdala	8.7	Brain	Brain
ENSG00000111348	ARHGDIB	amygdala	36	Brain	Brain
ENSG00000111358	GTF2H3	amygdala	7.9	Brain	Brain
ENSG00000111361	EIF2B1	amygdala	20.9	Brain	Brain
ENSG00000111364	DDX55	amygdala	7.2	Brain	Brain
ENSG00000111371	SLC38A1	amygdala	9.6	Brain	Brain
ENSG00000111404	RERGL	amygdala	13	Brain	Brain
ENSG00000111412	SPRING1	amygdala	10.9	Brain	Brain
ENSG00000111445	RFC5	cerebellum	5.9	Brain	Brain
ENSG00000111450	STX2	amygdala	10	Brain	Brain
ENSG00000111481	COPZ1	amygdala	57.9	Brain	Brain
ENSG00000111490	TBC1D30	cerebellum	7.9	Brain	Brain
ENSG00000111530	CAND1	amygdala	17.1	Brain	Brain
ENSG00000111540	RAB5B	amygdala	70.6	Brain	Brain
ENSG00000111554	MDM1	amygdala	5.4	Brain	Brain
ENSG00000111581	NUP107	cerebellum	8.8	Brain	Brain
ENSG00000111596	CNOT2	amygdala	16.1	Brain	Brain
ENSG00000111605	CPSF6	amygdala	13.8	Brain	Brain
ENSG00000111615	KRR1	cerebellum	8.1	Brain	Brain
ENSG00000111639	MRPL51	amygdala	151.4	Brain	Brain
ENSG00000111640	GAPDH	amygdala	2981.6	Brain	Brain
ENSG00000111641	NOP2	amygdala	11.8	Brain	Brain
ENSG00000111642	CHD4	amygdala	27.5	Brain	Brain
ENSG00000111647	BLTP3B	amygdala	9.6	Brain	Brain
ENSG00000111652	COPS7A	amygdala	62.3	Brain	Brain
ENSG00000111653	ING4	amygdala	31.8	Brain	Brain
ENSG00000111664	GNB3	cerebellum	8.9	Brain	Brain
ENSG00000111665	CDCA3	cerebellum	10	Brain	Brain
ENSG00000111666	CHPT1	amygdala	40	Brain	Brain
